Customer ID,Gender,Age,Number of Dependents,City,Tenure in Months,Avg Monthly Long Distance Charges,Streaming Movies,Streaming Music,Unlimited Data,Payment Method,Monthly Charge,Total Charges,Total Revenue,Customer Status
0020-INWCK,Female,58,2,Woodlake,71,27.26,Yes,Yes,Yes,Credit Card,95.75,6849.4,8784.86,Stayed
0020-JDNXP,Female,52,1,Point Reyes Station,34,,Yes,Yes,Yes,Credit Card,61.25,1993.2,1993.2,Stayed
0021-IKXGC,Female,72,0,San Marcos,1,7.77,No,No,Yes,Bank Withdrawal,72.1,72.1,79.87,Joined
0022-TCJCI,Male,79,0,Daly City,45,10.67,Yes,No,Yes,Credit Card,62.7,2791.5,3271.65,Churned
0023-HGHWL,Male,67,0,Morgan Hill,1,,No,No,Yes,Bank Withdrawal,25.1,25.1,25.1,Churned
0023-UYUPN,Female,79,0,Ahwahnee,50,31.43,,,,Bank Withdrawal,25.2,1306.3,2877.8,Stayed
0023-XUOPT,Female,26,0,Carnelian Bay,13,43.56,No,No,Yes,Bank Withdrawal,94.1,1215.6,1781.88,Churned
0027-KWYKW,Female,30,2,Alpaugh,23,34.91,No,No,Yes,Bank Withdrawal,83.75,1849.95,2652.88,Stayed
0030-FNXPP,Female,22,0,Keeler,3,3.12,,,,Credit Card,19.85,57.2,66.56,Joined
0031-PVLZI,Female,34,0,Korbel,4,12.43,,,,Credit Card,20.35,76.35,126.07,Churned
0032-PGELS,Female,37,1,Palomar Mountain,1,,No,No,Yes,Bank Withdrawal,30.5,30.5,30.5,Churned
0036-IHMOT,Female,37,3,Parlier,55,35.04,Yes,Yes,No,Bank Withdrawal,103.7,5656.75,7603.95,Stayed
0040-HALCW,Male,42,3,Modesto,54,19.7,,,,Credit Card,20.4,1090.6,2154.4,Stayed
0042-JVWOJ,Male,64,0,Glen Ellen,26,37.7,,,,Bank Withdrawal,19.6,471.85,1430.8,Stayed
0042-RLHYP,Female,47,3,Eureka,69,38.39,,,,Bank Withdrawal,19.7,1396.9,4045.81,Stayed
0048-LUMLS,Male,23,3,Moss Beach,37,43.01,Yes,Yes,Yes,Credit Card,91.2,3247.55,4838.92,Stayed
0048-PIHNL,Female,48,0,Los Angeles,49,49.58,,,,Bank Withdrawal,20.45,900.9,3330.32,Stayed
0052-DCKON,Male,28,0,Los Angeles,66,43.77,Yes,Yes,Yes,Bank Withdrawal,-2,7942.15,10830.97,Stayed
0052-YNYOT,Female,28,0,Calexico,67,23.12,,,,Bank Withdrawal,20.55,1343.4,2861.91,Stayed
0056-EPFBG,Male,33,1,Redding,20,,No,No,Yes,Credit Card,39.4,825.4,825.4,Stayed
0057-QBUQH,Female,31,3,San Martin,43,30.64,,,,Bank Withdrawal,25.1,1070.15,2387.67,Stayed
0058-EVZWM,Female,37,0,Stockton,55,5.08,No,No,Yes,Bank Withdrawal,89.8,4959.6,5239,Stayed
0060-FUALY,Female,60,0,Los Angeles,59,16.39,No,No,Yes,Bank Withdrawal,94.75,5597.65,6564.66,Stayed
0064-SUDOG,Female,48,3,Huntington Park,12,19.28,,,,Bank Withdrawal,20.3,224.5,455.86,Stayed
0064-YIJGF,Male,60,3,Yermo,27,25.26,No,No,Yes,Bank Withdrawal,75.75,1929,2611.02,Stayed
0067-DKWBL,Male,69,0,San Diego,2,43.99,No,No,Yes,Bank Withdrawal,49.25,91.1,179.08,Churned
0068-FIGTF,Female,20,0,Fremont,27,48.91,Yes,Yes,Yes,Credit Card,78.2,2078.95,3399.52,Stayed
0071-NDAFP,Male,31,3,Santa Rosa,25,23.69,,,,Credit Card,25.5,630.6,1178.43,Stayed
0074-HDKDG,Male,46,0,San Jose,25,6.45,No,No,Yes,Bank Withdrawal,61.6,1611,1727.35,Stayed
0076-LVEPS,Male,57,1,Tujunga,29,,No,No,Yes,Credit Card,45,1242.45,1230.19,Stayed
0078-XZMHT,Male,19,0,Visalia,72,32.36,Yes,Yes,Yes,Bank Withdrawal,85.15,6316.2,8646.12,Stayed
0080-EMYVY,Female,64,0,Lodi,14,24.04,No,No,Yes,Credit Card,51.45,727.85,1064.41,Stayed
0080-OROZO,Female,38,0,El Portal,35,36.42,Yes,Yes,Yes,Bank Withdrawal,99.25,3532,4806.7,Stayed
0082-LDZUE,Male,54,0,Calistoga,1,42.95,No,No,Yes,Credit Card,44.3,44.3,87.25,Joined
0082-OQIQY,Male,50,0,Farmington,29,2.05,Yes,Yes,No,Bank Withdrawal,94.2,2607.6,2687.05,Stayed
0083-PIVIK,Male,25,0,Tulelake,64,5.49,No,No,No,Bank Withdrawal,81.25,5567.55,5958.91,Stayed
0089-IIQKO,Female,35,3,Coleville,39,24.38,Yes,Yes,Yes,Credit Card,99.95,3767.4,4718.22,Stayed
0093-EXYQL,Female,72,0,Ojai,40,44.14,Yes,No,Yes,Bank Withdrawal,91.55,3673.6,5439.2,Stayed
0093-XWZFY,Male,51,0,Desert Hot Springs,40,37.69,Yes,Yes,Yes,Credit Card,104.5,4036.85,5544.45,Churned
0094-OIFMO,Female,78,1,North Hollywood,11,11.59,Yes,No,No,Bank Withdrawal,95,1120.3,1367.79,Churned
0096-BXERS,Female,30,0,Inverness,6,42.66,No,No,Yes,Bank Withdrawal,50.35,314.55,570.51,Stayed
0096-FCPUF,Male,58,0,Santa Rosa,30,2.64,Yes,Yes,Yes,Mailed Check,64.5,1888.45,1967.65,Stayed
0098-BOWSO,Male,26,0,San Jose,27,20.66,,,,Bank Withdrawal,19.4,529.8,1087.62,Stayed
0100-DUVFC,Male,66,0,Wilmington,70,39.49,Yes,No,Yes,Bank Withdrawal,104.8,7308.95,10067.14,Stayed
0103-CSITQ,Female,20,0,Modesto,57,8.01,Yes,Yes,Yes,Bank Withdrawal,109.4,6252.7,6709.27,Stayed
0104-PPXDV,Male,61,0,San Diego,58,18.37,No,No,Yes,Credit Card,50.3,2878.55,3933.78,Stayed
0106-GHRQR,Male,24,0,Rancho Palos Verdes,16,25.71,Yes,Yes,Yes,Bank Withdrawal,71.4,1212.1,1623.46,Stayed
0106-UGRDO,Female,55,0,Kenwood,69,38.52,Yes,Yes,Yes,Bank Withdrawal,116,8182.85,10840.73,Stayed
0107-WESLM,Male,32,0,West Point,1,31.77,,,,Bank Withdrawal,19.85,19.85,51.62,Churned
0107-YHINA,Male,59,0,Los Angeles,1,40.71,Yes,Yes,Yes,Bank Withdrawal,99.75,99.75,140.46,Churned
0111-KLBQG,Male,71,1,Morongo Valley,32,31.86,Yes,Yes,Yes,Mailed Check,93.95,2861.45,3880.97,Stayed
0112-QAWRZ,Male,49,2,Palo Verde,16,48.71,No,No,Yes,Bank Withdrawal,90.8,1442.2,2221.56,Stayed
0112-QWPNC,Male,61,0,Valyermo,49,39.55,Yes,Yes,Yes,Bank Withdrawal,84.35,4059.35,5997.3,Churned
0114-IGABW,Female,40,0,Cambria,71,,Yes,Yes,Yes,Bank Withdrawal,58.25,4145.9,4145.9,Stayed
0114-PEGZZ,Female,39,0,Round Mountain,33,49.69,Yes,Yes,Yes,Bank Withdrawal,107.55,3645.5,5285.27,Stayed
0114-RSRRW,Female,21,0,Klamath,10,49.6,,,,Bank Withdrawal,19.95,187.75,683.75,Stayed
0115-TFERT,Male,24,0,Fresno,21,36.26,Yes,Yes,No,Bank Withdrawal,111.2,2317.1,3198.56,Churned
0117-LFRMW,Male,52,1,Angwin,37,,No,No,Yes,Bank Withdrawal,40.2,1448.8,1448.8,Churned
0118-JPNOY,Female,71,0,Le Grand,26,33.74,No,No,Yes,Credit Card,85.8,2193.65,3070.89,Stayed
0121-SNYRK,Male,45,0,Redway,50,,No,No,Yes,Credit Card,35.4,1748.9,1748.9,Stayed
0122-OAHPZ,Female,29,0,San Diego,7,28.62,No,Yes,Yes,Bank Withdrawal,73.85,511.25,698.56,Churned
0123-CRBRT,Female,62,0,Monterey Park,61,47.19,Yes,Yes,Yes,Mailed Check,88.1,5526.75,8405.34,Stayed
0125-LZQXK,Male,42,0,Big Oak Flat,15,45.92,Yes,Yes,Yes,Bank Withdrawal,101.35,1553.95,2242.75,Churned
0128-MKWSG,Female,51,2,Stevenson Ranch,26,,Yes,Yes,Yes,Credit Card,45.8,1147,1147,Stayed
0129-KPTWJ,Male,39,0,North Highlands,72,33.22,Yes,Yes,Yes,Bank Withdrawal,94.65,6747.35,9139.19,Stayed
0129-QMPDR,Male,64,0,La Puente,44,27.4,,,,Bank Withdrawal,20.5,865.05,2070.65,Stayed
0130-SXOUN,Male,55,0,Glenhaven,66,48.78,Yes,Yes,No,Credit Card,89.4,5976.9,9200.36,Stayed
0133-BMFZO,Female,40,0,Alhambra,2,36.81,No,No,Yes,Bank Withdrawal,86.25,181.65,255.27,Churned
0134-XWXCE,Female,76,0,Santa Monica,44,7.72,Yes,Yes,Yes,Bank Withdrawal,74.85,3268.05,3589.82,Stayed
0135-NMXAP,Female,57,0,Lodi,12,14.38,No,No,Yes,Bank Withdrawal,89.75,1052.4,1224.96,Churned
0136-IFMYD,Male,71,0,Los Angeles,69,18.41,Yes,No,Yes,Bank Withdrawal,109.95,7634.25,8904.54,Stayed
0137-OCGAB,Female,25,0,Fairfield,1,1.23,No,No,Yes,Mailed Check,80.2,80.2,81.43,Churned
0137-UDEUO,Female,24,0,Stockton,3,25.75,,,,Credit Card,19.85,63.75,141,Churned
0139-IVFJG,Female,19,0,Temecula,2,4.65,No,No,Yes,Bank Withdrawal,90.35,190.5,199.8,Joined
0141-YEAYS,Female,77,0,Fallbrook,27,2.97,No,No,Yes,Bank Withdrawal,86.45,2401.05,2481.24,Stayed
0142-GVYSN,Male,57,0,Randsburg,26,13.34,,,,Bank Withdrawal,20.3,511.25,858.09,Stayed
0147-ESWWR,Female,73,0,Atascadero,39,20.15,Yes,Yes,Yes,Bank Withdrawal,101.25,3949.15,4735,Stayed
0148-DCDOS,Male,41,0,Planada,25,34.88,Yes,Yes,Yes,Bank Withdrawal,94.7,2362.1,3234.1,Churned
0151-ONTOV,Female,43,0,Moorpark,1,39.81,No,No,Yes,Mailed Check,70.9,70.9,110.71,Churned
0156-FVPTA,Male,48,0,Solvang,22,27.24,No,No,Yes,Bank Withdrawal,54.2,1152.7,1751.98,Churned
0164-APGRB,Female,56,0,Calistoga,72,48.37,Yes,Yes,Yes,Bank Withdrawal,114.9,8496.7,11979.34,Stayed
0164-XAIRP,Female,51,0,La Mirada,24,10.64,,,,Bank Withdrawal,19.55,470.2,725.56,Stayed
0168-XZKBB,Female,34,0,Boron,19,7.84,No,No,Yes,Bank Withdrawal,86.85,1564.4,1713.36,Stayed
0174-QRVVY,Male,21,2,San Marcos,71,9.2,,,,Credit Card,25.35,1847.55,2500.75,Stayed
0177-PXBAT,Male,78,0,Desert Center,33,25.15,Yes,No,Yes,Bank Withdrawal,109.9,3694.7,4524.65,Stayed
0178-CIIKR,Female,60,0,Crows Landing,3,2.69,,,,Credit Card,19.95,58,66.07,Joined
0178-SZBHO,Male,54,1,Tuolumne,47,1.09,No,No,Yes,Bank Withdrawal,87.2,4017.45,4068.68,Stayed
0181-RITDD,Male,42,3,San Diego,62,1.76,Yes,Yes,Yes,Credit Card,108.15,6825.65,6934.77,Stayed
0186-CAERR,Male,22,0,Auburn,71,2.88,Yes,Yes,Yes,Bank Withdrawal,116.3,8309.55,8514.03,Stayed
0187-QSXOE,Male,71,0,Fresno,7,41.97,Yes,Yes,Yes,Bank Withdrawal,89,605.45,899.24,Stayed
0187-WZNAB,Female,56,2,Del Rey,27,46.66,No,No,Yes,Credit Card,74.4,1972.35,3232.17,Stayed
0188-GWFLE,Male,33,0,Redwood City,2,1.81,,,,Credit Card,20.05,33.7,37.32,Joined
0191-EQUUH,Female,32,3,Landers,25,,No,No,Yes,Bank Withdrawal,35.05,844.45,844.45,Stayed
0191-ZHSKZ,Male,80,0,Hawthorne,30,38.61,Yes,No,Yes,Bank Withdrawal,74.75,2111.3,3269.6,Stayed
0193-ESZXP,Female,73,0,Oceano,58,16.94,Yes,Yes,Yes,Credit Card,105.5,6205.5,7188.02,Churned
0195-IESCP,Male,26,0,Armona,10,2.02,Yes,Yes,No,Bank Withdrawal,85.25,855.3,975.5,Churned
0196-JTUQI,Female,59,0,Clarksburg,9,9.27,No,No,Yes,Credit Card,75.2,633.85,717.28,Stayed
0196-VULGZ,Female,78,0,Irvine,6,28.71,Yes,No,Yes,Bank Withdrawal,84.35,474.9,647.16,Churned
0197-PNKNK,Female,47,1,Scotts Valley,69,38.92,No,No,No,Bank Withdrawal,84.45,5848.6,8574.08,Stayed
0201-MIBOL,Female,68,0,Salida,66,10.45,Yes,Yes,Yes,Bank Withdrawal,102.4,6471.85,7161.55,Stayed
0201-OAMXR,Female,30,0,Mckinleyville,70,10.21,Yes,Yes,Yes,Credit Card,115.55,8127.6,8842.3,Churned
0203-HHYIJ,Male,62,0,Atherton,25,5.57,,,,Bank Withdrawal,25.3,676.35,815.6,Churned
0206-OYVOC,Female,52,2,Huntington Beach,46,24.33,,,,Credit Card,19.25,864.2,1983.38,Stayed
0206-TBWLC,Female,63,0,Calimesa,54,11.4,Yes,Yes,Yes,Credit Card,114.65,6049.5,6665.1,Stayed
0207-MDKNV,Female,54,0,Daly City,15,22.39,Yes,Yes,Yes,Bank Withdrawal,105.1,1582.75,1918.6,Churned
0208-BPQEJ,Female,48,1,Middletown,12,8.25,,,,Bank Withdrawal,19.4,198.1,297.1,Stayed
0212-ISBBF,Female,51,0,Berkeley,22,,Yes,Yes,Yes,Bank Withdrawal,50.35,1098.85,1098.85,Stayed
0214-JHPFW,Female,22,0,Lost Hills,70,,Yes,Yes,Yes,Bank Withdrawal,57.8,4039.3,4038.29,Stayed
0215-BQKGS,Male,52,0,Garden Grove,30,24.73,No,No,No,Credit Card,84.3,2438.6,3310.5,Stayed
0218-QNVAS,Male,22,1,Indio,71,28.34,Yes,Yes,Yes,Bank Withdrawal,100.55,7113.75,9108.9,Stayed
0219-QAERP,Male,33,0,Oxnard,30,9.81,,,,Credit Card,19.8,576.65,870.95,Stayed
0219-YTZUE,Male,26,0,San Diego,4,28.77,No,Yes,Yes,Bank Withdrawal,84.8,371.9,486.98,Churned
0220-EBGCE,Male,58,0,Escondido,2,14.14,Yes,Yes,Yes,Bank Withdrawal,85.85,167.3,195.58,Churned
0221-NAUXK,Male,22,1,Moreno Valley,10,7.86,,,,Bank Withdrawal,19.95,219.5,298.1,Stayed
0221-WMXNQ,Male,66,0,Chino,4,36.4,No,No,Yes,Bank Withdrawal,75.35,273.4,419,Stayed
0222-CNVPT,Male,69,0,Sacramento,52,,Yes,Yes,Yes,Credit Card,48.8,2555.05,2555.05,Stayed
0224-HJAPT,Male,25,0,San Diego,5,22.01,No,Yes,Yes,Bank Withdrawal,47.15,223.15,333.2,Churned
0224-NIJLP,Male,30,3,Turlock,8,2.87,,,,Credit Card,20.15,165.5,188.46,Stayed
0224-RLWWD,Female,73,0,Calexico,2,23.91,No,No,Yes,Bank Withdrawal,44.3,89.3,137.12,Joined
0225-ZORZP,Male,46,0,Groveland,3,13.72,Yes,Yes,Yes,Bank Withdrawal,84.3,235.05,276.21,Joined
0228-MAUWC,Male,40,0,Los Gatos,19,11.85,No,No,Yes,Bank Withdrawal,59.55,1144.6,1369.75,Stayed
0229-LFJAF,Male,53,0,Clovis,72,3.66,No,No,Yes,Bank Withdrawal,69.65,4908.25,5171.77,Stayed
0230-UBYPQ,Male,76,0,Hyampom,63,,No,No,Yes,Bank Withdrawal,36.1,2298.9,2298.9,Stayed
0230-WEQUW,Male,38,0,Woodland Hills,66,,No,No,Yes,Bank Withdrawal,56.6,3789.2,3789.2,Stayed
0231-LXVAP,Male,23,0,Temecula,1,44.56,No,No,Yes,Bank Withdrawal,75.9,75.9,120.46,Churned
0233-FTHAV,Female,24,0,Livingston,60,15.29,No,No,Yes,Bank Withdrawal,79.2,4765,5682.4,Stayed
0234-TEVTT,Female,43,3,Tulare,48,,Yes,Yes,Yes,Credit Card,45,2196.3,2196.3,Stayed
0235-KGSLC,Female,45,0,Buellton,1,33.34,No,No,Yes,Credit Card,85.55,85.55,118.89,Churned
0236-HFWSV,Male,49,0,Palmdale,15,48.93,Yes,Yes,Yes,Bank Withdrawal,93.35,1444.65,2178.6,Churned
0237-YFUTL,Female,62,0,Midway City,50,34.57,Yes,Yes,Yes,Bank Withdrawal,109.65,5405.8,7134.3,Stayed
0238-WHBIQ,Male,25,1,Folsom,72,33.75,Yes,Yes,Yes,Credit Card,89.7,6339.3,8769.3,Stayed
0239-OXEXL,Female,37,0,Oakland,46,43.27,No,No,No,Credit Card,84.25,3847.6,5938.02,Stayed
0244-LGNFY,Female,35,1,San Anselmo,72,30,Yes,Yes,Yes,Bank Withdrawal,92.65,6733,8893,Stayed
0247-SLUJI,Male,37,3,Duarte,1,34.28,,,,Credit Card,19.7,19.7,53.98,Joined
0248-IPDFW,Female,19,0,Lake Elsinore,1,29.13,No,No,Yes,Bank Withdrawal,50.1,50.1,79.23,Joined
0248-PGHBZ,Female,69,0,San Clemente,67,2.57,No,No,Yes,Bank Withdrawal,92.45,6140.85,6313.04,Stayed
0253-ZTEOB,Female,44,1,Los Angeles,48,8.94,Yes,Yes,Yes,Bank Withdrawal,79.65,3870.3,4299.42,Stayed
0254-FNMCI,Female,19,0,Downey,72,41.91,Yes,Yes,Yes,Bank Withdrawal,109.9,7624.2,10641.72,Stayed
0254-KCJGT,Male,64,0,Bodega Bay,52,41.34,Yes,Yes,Yes,Credit Card,81.4,4354.45,6504.13,Stayed
0254-WWRKD,Female,44,3,Challenge,67,46.9,No,No,Yes,Credit Card,50.55,3431.75,6574.05,Stayed
0256-LTHVJ,Female,58,0,Ludlow,28,16.85,Yes,Yes,Yes,Bank Withdrawal,81.05,2227.1,2698.9,Churned
0257-KXZGU,Female,29,1,Santa Clara,32,33.28,No,Yes,Yes,Bank Withdrawal,62.45,2045.55,3110.51,Stayed
0257-ZESQC,Female,80,0,Perris,27,7.02,No,No,Yes,Bank Withdrawal,75.2,1929.35,2118.89,Churned
0258-NOKBL,Male,22,0,Fortuna,3,31.48,Yes,Yes,Yes,Bank Withdrawal,90.4,268.45,362.89,Joined
0259-GBZSH,Male,22,0,San Diego,2,40.43,No,Yes,Yes,Bank Withdrawal,85.65,181.5,262.36,Churned
0260-ZDLGK,Female,50,2,San Dimas,9,35.49,Yes,Yes,Yes,Credit Card,72.9,651.4,970.81,Churned
0263-FJTQO,Male,53,2,Rescue,50,44.49,No,No,Yes,Credit Card,70.5,3486.65,5711.15,Stayed
0264-CNITK,Female,45,2,Clio,71,31.03,,,,Bank Withdrawal,20.1,1389.6,3592.73,Stayed
0265-EDXBD,Male,76,0,San Diego,32,47.34,No,No,Yes,Bank Withdrawal,74.9,2303.35,3818.23,Churned
0265-PSUAE,Female,57,3,Lotus,16,27.27,Yes,Yes,Yes,Bank Withdrawal,100.7,1522.7,1959.02,Stayed
0266-CLZKZ,Female,45,3,San Marcos,67,17.79,Yes,Yes,Yes,Bank Withdrawal,105.65,6717.9,7909.83,Stayed
0266-GMEAO,Male,43,1,Lompoc,72,15.94,Yes,Yes,Yes,Credit Card,114.3,8058.55,9206.23,Stayed
0268-QKIWO,Female,41,0,Pilot Hill,3,24.63,,,,Bank Withdrawal,19.75,58.85,132.74,Churned
0269-XFESX,Male,22,3,San Francisco,23,48.02,,,,Credit Card,24.35,538.5,1642.96,Stayed
0270-THENM,Male,62,2,Mission Hills,72,28.37,No,No,Yes,Bank Withdrawal,69.85,5102.35,7119.75,Stayed
0274-JKUJR,Male,21,2,Los Angeles,7,,Yes,Yes,Yes,Credit Card,-3,465.7,465.7,Stayed
0277-BKSQP,Male,49,3,Harbor City,8,1.56,No,No,Yes,Bank Withdrawal,54.4,475.1,487.58,Stayed
0277-ORXQS,Male,33,4,San Francisco,66,,Yes,Yes,No,Bank Withdrawal,50.55,3364.55,3474.55,Stayed
0278-YXOOG,Male,30,0,Inglewood,5,34.26,,,,Credit Card,21.05,113.85,285.15,Churned
0280-XJGEX,Male,38,1,Los Angeles,49,44.33,Yes,Yes,Yes,Bank Withdrawal,103.7,5036.3,7208.47,Churned
0281-CNTZX,Male,56,0,Pescadero,63,38.36,,,,Bank Withdrawal,19.95,1234.8,3651.48,Stayed
0282-NVSJS,Female,70,1,Aromas,12,,No,No,Yes,Mailed Check,29.3,355.9,355.9,Stayed
0285-INHLN,Male,54,6,Badger,27,36.19,No,No,Yes,Credit Card,54.75,1510.3,2487.43,Stayed
0289-IVARM,Female,57,0,Parlier,35,44.81,No,No,Yes,Bank Withdrawal,60.55,1982.6,3550.95,Stayed
0292-WEGCH,Female,40,2,Death Valley,54,4.33,Yes,Yes,Yes,Bank Withdrawal,86.2,4524.05,4757.87,Stayed
0295-PPHDO,Male,56,0,La Puente,1,5.59,Yes,Yes,Yes,Bank Withdrawal,95.45,95.45,101.04,Churned
0295-QVKPB,Male,38,0,Riverdale,5,13.96,No,No,Yes,Credit Card,63.95,318.1,387.9,Stayed
0297-RBCSG,Male,61,0,San Francisco,19,41.79,Yes,Yes,No,Bank Withdrawal,65.35,1231.85,2085.86,Stayed
0298-XACET,Male,35,2,Berry Creek,52,,No,No,Yes,Credit Card,50.2,2554,2526.99,Stayed
0301-FIDRB,Female,61,3,Fulton,72,,Yes,Yes,Yes,Bank Withdrawal,63.8,4684.3,4684.3,Stayed
0301-KOBTQ,Male,50,0,Capitola,32,14.91,,,,Bank Withdrawal,20.05,614.45,1081.84,Stayed
0302-JOIVN,Female,47,0,San Diego,8,16.88,Yes,Yes,Yes,Bank Withdrawal,101.15,842.9,977.94,Churned
0303-UNCIP,Male,35,0,Claremont,41,37.55,Yes,Yes,No,Mailed Check,65,2531.8,4211.35,Stayed
0303-WMMRN,Male,32,0,Glendale,5,21.01,,,,Credit Card,19.25,86.05,191.1,Stayed
0305-SQECB,Female,54,1,Gardena,11,,No,No,No,Credit Card,36.05,402.6,502.6,Stayed
0306-JAELE,Male,61,0,Fallbrook,5,31.09,Yes,Yes,Yes,Bank Withdrawal,96.1,453.4,608.85,Churned
0307-BCOPK,Female,62,0,San Francisco,16,41.51,,,,Credit Card,19.05,326.65,990.81,Stayed
0308-GIQJT,Male,80,0,San Diego,71,6.1,Yes,No,Yes,Bank Withdrawal,105.75,7382.85,7815.95,Stayed
0308-IVGOK,Female,23,0,Santa Ana,11,,No,No,Yes,Credit Card,40.4,422.6,422.6,Stayed
0310-MVLET,Female,63,0,Snelling,61,49.33,Yes,Yes,Yes,Bank Withdrawal,99.15,6010.05,9019.18,Churned
0310-SUCIN,Female,50,0,Darwin,71,23.06,Yes,Yes,Yes,Bank Withdrawal,84.8,6046.1,7683.36,Stayed
0310-VQXAM,Male,56,0,San Bernardino,9,40.74,,,,Credit Card,19.85,178.8,545.46,Stayed
0311-QYWSS,Female,63,0,Garberville,6,39.16,No,No,Yes,Bank Withdrawal,49.45,314.6,549.56,Stayed
0311-UNPFF,Female,58,0,Long Beach,26,38.09,Yes,Yes,No,Bank Withdrawal,88.8,2274.35,3314.69,Churned
0314-TKOSI,Female,29,0,Upland,6,6.98,No,No,No,Mailed Check,55.15,322.9,364.78,Stayed
0315-LVCRK,Male,54,0,El Dorado Hills,11,30.57,Yes,Yes,Yes,Bank Withdrawal,84.8,888.75,1225.02,Stayed
0318-QUUOB,Male,25,0,Santa Rosa,1,43.67,No,Yes,No,Bank Withdrawal,80.55,80.55,124.22,Churned
0318-ZOPWS,Female,31,0,Malibu,49,2.82,,,,Bank Withdrawal,20.15,973.35,1111.53,Stayed
0319-QZTCO,Female,25,2,Santa Rosa,3,11.47,No,No,Yes,Credit Card,58.7,168.6,203.01,Joined
0320-DWVTU,Female,46,0,Riverdale,53,43.57,Yes,Yes,Yes,Credit Card,99.5,5424.25,7733.46,Stayed
0320-JDNQG,Male,28,0,Oxnard,23,37.95,Yes,Yes,Yes,Bank Withdrawal,99.85,2331.3,3204.15,Churned
0322-CHQRU,Male,63,0,Palmdale,2,25.49,No,No,Yes,Bank Withdrawal,45.35,89.5,140.48,Churned
0322-YINQP,Male,37,0,Covina,1,11.35,No,No,Yes,Credit Card,48.55,48.55,59.9,Churned
0323-XWWTN,Male,44,1,San Lucas,3,33.87,,,,Credit Card,26.4,121.25,222.86,Joined
0324-BRPCJ,Female,74,0,Palmdale,68,21.33,Yes,Yes,Yes,Bank Withdrawal,100.2,6851.65,8302.09,Churned
0325-XBFAC,Male,44,0,Hoopa,8,19.49,Yes,Yes,No,Bank Withdrawal,94.7,740.3,976.22,Churned
0326-VDYXE,Female,21,0,Long Beach,70,16.66,Yes,Yes,No,Bank Withdrawal,97.65,6982.5,8228.7,Stayed
0327-WFZSY,Male,62,3,Samoa,39,17.29,Yes,Yes,Yes,Bank Withdrawal,100,3835.55,4509.86,Stayed
0328-GRPMV,Female,43,0,Burnt Ranch,1,17.37,No,No,Yes,Bank Withdrawal,70.1,70.1,87.47,Churned
0329-GTIAJ,Female,40,0,Garden Grove,3,30.18,Yes,Yes,Yes,Bank Withdrawal,97.9,315.3,405.84,Churned
0330-BGYZE,Male,48,0,Milford,60,19.22,Yes,Yes,Yes,Bank Withdrawal,102.5,6157.6,7310.8,Stayed
0330-IVZHA,Female,55,0,Anderson,5,17.08,No,No,Yes,Bank Withdrawal,69.95,330.15,415.55,Churned
0334-GDDSO,Male,77,0,San Diego,3,9.22,No,No,Yes,Bank Withdrawal,81.35,233.7,261.36,Churned
0334-ZFJSR,Female,41,0,San Diego,55,35.38,No,No,No,Credit Card,66.05,3462.1,5513.47,Stayed
0336-KXKFK,Male,43,0,Santa Margarita,72,,Yes,Yes,Yes,Credit Card,61.2,4390.25,4390.25,Stayed
